조절변수,주효과변수,계수,오즈비(OR),95%신뢰구간,p값,유의도,집합검정_LR_p값
전문지도,안전조직수준,-0.1381,0.871,"[0.736, 1.031]",0.1093,,0.1929
전문지도,위원회수준,-0.0296,0.9708,"[0.853, 1.104]",0.6527,,0.1929
전문지도,인증보유,0.0835,1.0871,"[0.958, 1.233]",0.1946,,0.1929
고용노동부감독,안전조직수준,0.1104,1.1167,"[0.936, 1.332]",0.2191,,0.0178
고용노동부감독,위원회수준,-0.1428,0.8669,"[0.757, 0.992]",0.0382,*,0.0178
고용노동부감독,인증보유,0.1526,1.1649,"[1.023, 1.327]",0.0215,*,0.0178
안전보건공단지원,안전조직수준,0.0586,1.0604,"[0.935, 1.202]",0.3609,,0.6652
안전보건공단지원,위원회수준,0.0484,1.0495,"[0.918, 1.200]",0.4796,,0.6652
안전보건공단지원,인증보유,-0.0387,0.9621,"[0.834, 1.110]",0.5964,,0.6652
